plan_id,batch_id,system,alpha,epsilon,confidence,hard_constraints_passed,rule_penalty,reward_score,citations_count,status,created_at,mass_proxy,uniformity_penalty,score_total
batch_20250814_2006_plan_001,batch_20250814_2006,silicate,0.1532,0.7594,0.4163,True,2.81,0.6728,4,success,2025-08-14T20:06:23.256111,0.4156,0.0000,2.0986
batch_20250814_2006_plan_002,batch_20250814_2006,silicate,0.2099,0.8109,0.5570,True,3.12,0.8577,4,success,2025-08-14T20:06:23.285899,0.6957,0.0000,2.1240
batch_20250814_2006_plan_003,batch_20250814_2006,silicate,0.2069,0.7600,0.6872,True,1.51,0.6072,4,success,2025-08-14T20:06:23.306954,0.1808,0.0000,1.8688
batch_20250814_2006_plan_004,batch_20250814_2006,silicate,0.2308,0.8456,0.7277,True,4.50,0.1533,3,success,2025-08-14T20:06:23.338309,0.2045,0.0000,2.9800
batch_20250814_2006_plan_005,batch_20250814_2006,silicate,0.1569,0.7820,0.7125,True,0.68,0.8356,3,success,2025-08-14T20:06:23.360277,0.5502,0.4500,2.4730
batch_20250814_2006_plan_006,batch_20250814_2006,silicate,0.2457,0.7501,0.7713,True,3.62,0.1073,3,success,2025-08-14T20:06:23.381143,0.6503,0.7833,-0.3242
batch_20250814_2006_plan_007,batch_20250814_2006,silicate,0.2307,0.8157,0.5465,False,3.81,0.5453,2,success,2025-08-14T20:06:23.400855,0.4177,0.0000,2.1447
batch_20250814_2006_plan_008,batch_20250814_2006,silicate,0.1955,0.7545,0.5730,False,4.46,0.3288,3,success,2025-08-14T20:06:23.419719,0.4227,0.4500,0.8621
batch_20250814_2006_plan_009,batch_20250814_2006,silicate,0.2057,0.8430,0.4736,False,1.74,0.2779,1,success,2025-08-14T20:06:23.444483,0.5529,0.0000,3.1951
batch_20250814_2006_plan_010,batch_20250814_2006,silicate,0.2367,0.8048,0.5318,True,2.62,0.3739,3,success,2025-08-14T20:06:23.464651,0.2486,0.0000,2.0964
batch_20250814_2006_plan_011,batch_20250814_2006,silicate,0.1913,0.7683,0.4730,True,0.17,0.4097,1,success,2025-08-14T20:06:23.488326,0.6957,0.8500,1.2906
batch_20250814_2006_plan_012,batch_20250814_2006,silicate,0.2429,0.8411,0.7888,True,0.66,0.8047,1,success,2025-08-14T20:06:23.507534,0.2349,0.0000,3.3815
batch_20250814_2006_variant_001,batch_20250814_2006,silicate,0.2386,0.7757,0.6000,True,0.50,0.7000,1,success,2025-08-14T20:08:56.195197,0.1368,0.0000,2.0250
batch_20250814_2006_variant_002,batch_20250814_2006,silicate,0.2388,0.7757,0.6000,True,0.50,0.7000,1,success,2025-08-14T20:08:56.210615,0.1368,0.0000,2.0211
batch_20250814_2006_variant_003,batch_20250814_2006,silicate,0.2385,0.7753,0.6000,True,0.50,0.7000,1,success,2025-08-14T20:08:56.226745,0.1497,0.2500,1.7533
batch_20250814_2006_variant_004,batch_20250814_2006,silicate,0.2389,0.7757,0.6000,True,0.50,0.7000,1,success,2025-08-14T20:08:56.242282,0.1497,0.2500,1.7566
batch_20250814_2006_variant_005,batch_20250814_2006,silicate,0.2383,0.7757,0.6000,True,0.50,0.7000,1,success,2025-08-14T20:08:56.257550,0.1368,0.4500,1.5762
batch_20250814_2006_variant_006,batch_20250814_2006,silicate,0.2385,0.7755,0.6000,True,0.50,0.7000,1,success,2025-08-14T20:08:56.272506,0.3774,0.0000,1.7806
batch_20250814_2006_variant_007,batch_20250814_2006,silicate,0.2387,0.7752,0.6000,True,0.50,0.7000,1,success,2025-08-14T20:08:56.287084,0.3774,0.0000,1.7707
batch_20250814_2006_variant_008,batch_20250814_2006,silicate,0.2386,0.7753,0.6000,True,0.50,0.7000,1,success,2025-08-14T20:08:56.302992,0.1497,0.8500,1.1526
batch_20250814_2006_variant_009,batch_20250814_2006,silicate,0.2386,0.7754,0.6000,True,0.50,0.7000,1,success,2025-08-14T20:08:56.318556,0.3774,0.4500,1.3260
batch_20250814_2006_variant_010,batch_20250814_2006,silicate,0.2387,0.7749,0.6000,True,0.50,0.7000,1,success,2025-08-14T20:08:56.334236,0.4977,0.2500,1.3943
batch_20250814_2006_variant_011,batch_20250814_2006,silicate,0.2387,0.7749,0.6000,True,0.50,0.7000,1,success,2025-08-14T20:08:56.349861,0.5204,0.2500,1.3719
batch_20250814_2006_variant_012,batch_20250814_2006,silicate,0.2385,0.7753,0.6000,True,0.50,0.7000,1,success,2025-08-14T20:08:56.365490,0.5182,0.4500,1.1835
batch_20250814_2006_variant_013,batch_20250814_2006,silicate,0.2380,0.7752,0.6000,True,0.50,0.7000,1,success,2025-08-14T20:08:56.381553,0.5455,0.4500,1.1595
batch_20250814_2006_variant_014,batch_20250814_2006,silicate,0.2387,0.7751,0.6000,True,0.50,0.7000,1,success,2025-08-14T20:08:56.396690,0.5484,0.4187,1.1808
batch_20250814_2006_variant_015,batch_20250814_2006,silicate,0.2384,0.7752,0.6000,True,0.50,0.7000,1,success,2025-08-14T20:08:56.411995,0.5786,0.4500,1.1233
batch_20250814_2006_variant_016,batch_20250814_2006,silicate,0.2385,0.7754,0.6000,True,0.50,0.7000,1,success,2025-08-14T20:08:56.427227,0.6957,0.4500,1.0097
batch_20250814_2006_variant_017,batch_20250814_2006,silicate,0.2385,0.7753,0.6000,True,0.50,0.7000,1,success,2025-08-14T20:08:56.442537,0.6935,0.4500,1.0096
batch_20250814_2006_variant_018,batch_20250814_2006,silicate,0.2385,0.7754,0.6000,True,0.50,0.7000,1,success,2025-08-14T20:08:56.458710,0.6957,0.4500,1.0090
